name,marker-color,marker-size,marker-symbol,id,feature-type,notes,geology,lon,lat
Devil's Chair,#000000,,,140,Boulder,Chambered Long Barrow,Sarsen,-2.69188,50.84165
Devil's Chair,#000000,,,141,Boulder,Chambered Long Barrow,Sarsen,-2.69197,50.84165
,#000000,,,142,Stone,,Heathstone,-2.08861,50.67491
,#000000,,,143,Stone,,Heathstone,-2.08549,50.66338
,#000000,,,144,Stone,,Heathstone,-2.08419,50.6638
,#000000,,,145,Stone,,Heathstone,-2.08021,50.66485
,#000000,,,146,Stone,,Heathstone,-2.07526,50.66595
,#000000,,,147,Stone,,Heathstone,-2.05491,50.67038
Winterborne Abbas,#000000,,,148,Stone,,Sarsen,-2.53755,50.71131
Nine Stones,#000000,,,149,Stone circle,,Sarsen,-2.55265,50.71221
Nine Stones,#000000,,,150,Stone circle,,Sarsen,-2.55267,50.71219
Nine Stones,#000000,,,151,Stone circle,,Sarsen,-2.55265,50.71217
Nine Stones,#000000,,,152,Stone circle,,Sarsen,-2.55263,50.71215
Nine Stones,#000000,,,153,Stone circle,,Sarsen,-2.55257,50.71215
Nine Stones,#000000,,,154,Stone circle,,Sarsen,-2.55256,50.71218
Nine Stones,#000000,,,155,Stone circle,,Sarsen,-2.55259,50.71222
Nine Stones,#000000,,,156,Stone circle,,Sarsen,-2.55254,50.7122
Nine Stones,#000000,,,157,Stone circle,,Sarsen,-2.55257,50.71221
The Broad Stone,#000000,,,158,Stone,,Sarsen,-2.57456,50.71184
,#000000,,,159,Stone,,Sarsen,-2.59636,50.71243
,#000000,,,160,Stone,,Sarsen,-2.62851,50.72308
,#000000,,,161,Stone,,Sarsen,-2.6299,50.72409
,#000000,,,162,Stone,,Sarsen,-2.62913,50.7238
,#000000,,,163,Stone,,Sarsen,-2.62926,50.72353
,#000000,,,164,Stone,,Sarsen,-2.62921,50.72352
,#000000,,,165,Stone,,Sarsen,-2.62906,50.72353
,#000000,,,166,Monolith,,Sarsen,-2.60693,50.72144
,#000000,,,167,Stone,,Sarsen,-2.59255,50.71045
Three Dumb Maids,#000000,,,168,Stone,,Forest Marble,-2.60345,50.84019
,#000000,,,169,Stone,,Sarsen,-2.638,50.83313
,,,,170,Stone,,Sarsen,-2.41516,50.70803
,,,,171,Stone,,Sarsen,-2.42008,50.70771
Scar Cementstone,#000000,,,172,Stone,Outcrop and landslip,Portland Sand,-2.55728,50.67063
Scar Cementstone,#000000,,,173,Stone,Outcrop and landslip,Portland Sand,-2.55731,50.67072
Scar Cementstone,#000000,,,174,Stone,Outcrop and landslip,Portland Sand,-2.55737,50.67077
Scar Cementstone,#000000,,,175,Stone,Outcrop and landslip,Portland Sand,-2.55752,50.67075
Scar Cementstone,#000000,,,176,Stone,Outcrop and landslip,Portland Sand,-2.55746,50.67086
Scar Cementstone,#000000,,,177,Stone,Outcrop and landslip,Portland Sand,-2.55766,50.67087
Scar Cementstone,#000000,,,178,Stone,Outcrop and landslip,Portland Sand,-2.55773,50.67096
Scar Cementstone,#000000,,,179,Stone,Outcrop and landslip,Portland Sand,-2.5581,50.67125
Scar Cementstone,#000000,,,180,Stone,Outcrop and landslip,Portland Sand,-2.558,50.67131
Scar Cementstone,#000000,,,181,Stone,Outcrop and landslip,Portland Sand,-2.55805,50.67134
Scar Cementstone,#000000,,,182,Stone,Outcrop and landslip,Portland Sand,-2.55836,50.67163
Scar Cementstone,#000000,,,183,Stone,Outcrop and landslip,Portland Sand,-2.55836,50.67168
Scar Cementstone,#000000,,,184,Stone,Outcrop and landslip,Portland Sand,-2.55859,50.67165
Scar Cementstone,#000000,,,185,Stone,Outcrop and landslip,Portland Sand,-2.55838,50.67179
Scar Cementstone,#000000,,,186,Stone,Outcrop and landslip,Portland Sand,-2.55854,50.67177
